wavelength,deepred,farred,red,white
400,8e-4,5e-4,7e-4,0.0014
401,8e-4,5e-4,6e-4,0.0014
402,8e-4,6e-4,6e-4,0.0014
403,8e-4,8e-4,5e-4,0.0014
404,8e-4,0.001,3e-4,0.0014
405,8e-4,0.0012,2e-4,0.0014
406,8e-4,0.0014,2e-4,0.0016
407,8e-4,0.0016,2e-4,0.0016
408,8e-4,0.0017,2e-4,0.0018
409,8e-4,0.0018,2e-4,0.0021
410,8e-4,0.0017,2e-4,0.0024
411,8e-4,0.0016,2e-4,0.0027
412,8e-4,0.0014,2e-4,0.0032
413,8e-4,0.0014,2e-4,0.0039
414,7e-4,0.0013,2e-4,0.0046
415,7e-4,0.0012,3e-4,0.0053
416,6e-4,0.0011,4e-4,0.0064
417,6e-4,0.0011,4e-4,0.0079
418,6e-4,0.0012,4e-4,0.0094
419,6e-4,0.0013,4e-4,0.0111
420,6e-4,0.0014,3e-4,0.0135
421,6e-4,0.0015,3e-4,0.0165
422,7e-4,0.0016,4e-4,0.0196
423,8e-4,0.0017,4e-4,0.0234
424,9e-4,0.0017,4e-4,0.0283
425,9e-4,0.0018,4e-4,0.0339
426,0.001,0.0017,5e-4,0.04
427,0.001,0.0017,5e-4,0.0472
428,0.001,0.0017,4e-4,0.0562
429,0.001,0.0018,4e-4,0.066
430,0.001,0.0018,4e-4,0.0768
431,0.001,0.0018,3e-4,0.0894
432,0.001,0.0018,3e-4,0.1043
433,0.001,0.0018,3e-4,0.12
434,0.001,0.0018,3e-4,0.1373
435,0.001,0.0018,2e-4,0.1574
436,0.001,0.0019,2e-4,0.1799
437,0.001,0.002,2e-4,0.2034
438,9e-4,0.0021,2e-4,0.2296
439,9e-4,0.0022,3e-4,0.2604
440,9e-4,0.0024,4e-4,0.2957
441,9e-4,0.0026,4e-4,0.3344
442,9e-4,0.0029,5e-4,0.3767
443,0.001,0.0031,6e-4,0.4229
444,0.0011,0.0034,6e-4,0.4788
445,0.0012,0.0037,6e-4,0.5413
446,0.0013,0.004,7e-4,0.6025
447,0.0014,0.0041,7e-4,0.6589
448,0.0014,0.004,7e-4,0.7261
449,0.0015,0.0039,8e-4,0.7943
450,0.0015,0.0037,8e-4,0.8489
451,0.0015,0.0036,8e-4,0.8843
452,0.0014,0.0035,7e-4,0.9151
453,0.0012,0.0034,7e-4,0.936
454,0.0011,0.0033,7e-4,0.9404
455,0.0011,0.0033,7e-4,0.9209
456,0.001,0.0033,8e-4,0.8821
457,0.001,0.0034,8e-4,0.8349
458,0.001,0.0034,8e-4,0.7894
459,0.001,0.0034,9e-4,0.7297
460,0.0011,0.0035,0.001,0.6576
461,0.0012,0.0035,0.0011,0.5891
462,0.0013,0.0035,0.0012,0.5358
463,0.0013,0.0034,0.0014,0.4841
464,0.0013,0.0034,0.0016,0.4345
465,0.0014,0.0033,0.0018,0.3911
466,0.0013,0.0033,0.0019,0.3576
467,0.0012,0.0034,0.0019,0.3321
468,0.0012,0.0035,0.0019,0.3105
469,0.0011,0.0035,0.0019,0.2889
470,0.0011,0.0036,0.0018,0.2686
471,0.0011,0.0036,0.0017,0.2521
472,0.0012,0.0036,0.0016,0.2369
473,0.0012,0.0036,0.0015,0.2207
474,0.0013,0.0036,0.0014,0.2041
475,0.0014,0.0036,0.0013,0.1883
476,0.0015,0.0036,0.0013,0.1738
477,0.0015,0.0036,0.0013,0.1609
478,0.0016,0.0036,0.0013,0.1489
479,0.0016,0.0035,0.0014,0.1382
480,0.0017,0.0034,0.0015,0.1291
481,0.0017,0.0034,0.0014,0.1218
482,0.0017,0.0034,0.0014,0.1165
483,0.0016,0.0033,0.0014,0.1124
484,0.0016,0.0033,0.0013,0.1091
485,0.0015,0.0033,0.0013,0.107
486,0.0015,0.0034,0.0013,0.1063
487,0.0015,0.0034,0.0013,0.1065
488,0.0014,0.0035,0.0013,0.107
489,0.0014,0.0036,0.0014,0.108
490,0.0014,0.0037,0.0014,0.1099
491,0.0014,0.0037,0.0015,0.1125
492,0.0014,0.0038,0.0015,0.1159
493,0.0014,0.0038,0.0016,0.12
494,0.0014,0.0038,0.0017,0.1249
495,0.0014,0.0038,0.0017,0.1305
496,0.0014,0.0037,0.0017,0.1371
497,0.0015,0.0037,0.0016,0.1446
498,0.0015,0.0036,0.0015,0.1528
499,0.0016,0.0037,0.0014,0.1614
500,0.0016,0.0038,0.0014,0.171
501,0.0017,0.004,0.0013,0.1815
502,0.0018,0.0041,0.0013,0.1922
503,0.0018,0.0042,0.0013,0.2028
504,0.0018,0.0043,0.0014,0.2139
505,0.0017,0.0045,0.0015,0.2254
506,0.0016,0.0045,0.0017,0.2367
507,0.0016,0.0045,0.0018,0.2477
508,0.0015,0.0045,0.002,0.2589
509,0.0014,0.0045,0.0022,0.2701
510,0.0014,0.0045,0.0023,0.2809
511,0.0015,0.0044,0.0024,0.2914
512,0.0015,0.0043,0.0024,0.3019
513,0.0016,0.0042,0.0023,0.3121
514,0.0017,0.0042,0.0022,0.322
515,0.0017,0.0044,0.002,0.3316
516,0.0018,0.0046,0.0017,0.3409
517,0.0018,0.0048,0.0014,0.35
518,0.0018,0.0049,0.0014,0.359
519,0.0018,0.005,0.0015,0.3679
520,0.0017,0.0051,0.0017,0.3766
521,0.0017,0.0051,0.0018,0.3851
522,0.0017,0.0051,0.0019,0.3937
523,0.0017,0.005,0.0021,0.4024
524,0.0018,0.005,0.0023,0.4108
525,0.0018,0.0049,0.0024,0.4184
526,0.0018,0.0048,0.0023,0.4257
527,0.0018,0.0046,0.0021,0.4329
528,0.0018,0.0044,0.0019,0.4392
529,0.0017,0.0043,0.0017,0.4443
530,0.0017,0.0043,0.0015,0.4485
531,0.0016,0.0043,0.0012,0.4518
532,0.0016,0.0043,0.001,0.4543
533,0.0015,0.0044,0.001,0.456
534,0.0015,0.0046,0.0011,0.4566
535,0.0014,0.0047,0.0013,0.4565
536,0.0014,0.0048,0.0015,0.4561
537,0.0014,0.0049,0.0016,0.4552
538,0.0015,0.0049,0.0017,0.4536
539,0.0015,0.0049,0.0018,0.4516
540,0.0015,0.0049,0.0019,0.4494
541,0.0015,0.0048,0.0019,0.4469
542,0.0015,0.0046,0.0018,0.4439
543,0.0015,0.0044,0.0017,0.4408
544,0.0016,0.0044,0.0017,0.4376
545,0.0016,0.0045,0.0015,0.4339
546,0.0016,0.0047,0.0014,0.4301
547,0.0017,0.0048,0.0013,0.4262
548,0.0017,0.0047,0.0014,0.4222
549,0.0017,0.0047,0.0015,0.4181
550,0.0018,0.0046,0.0016,0.4138
551,0.0018,0.0045,0.0016,0.4097
552,0.0017,0.0044,0.0017,0.4056
